Journals,Publisher,Publisher-Level Policy,2024_Update?,Reviewer_A,Reviewer_B,Reviewer_notes,Data_timing_DE,Data_timing_agree,Data_timing_FIN,Data_strict_DE,Data_strict_agree,Data_strict_FIN,Code_timing_DE,Code_timing_agree,Code_timing_FIN,Code_strict_DE,Code_strict_agree,Code_strict_FIN
revista chilena de historia natural,BioMed Central - Springer Nature,Yes,Biomed policy is mandated for some data therefore encoruaged. code is encoruaged due to bmc policy,[redacted],[redacted],[redacted],NA,None,During Peer Review,Not Mentioned,Partial (2/3),Encouraged,NA,None,During Peer Review,Not Mentioned,Full (3/3),Encouraged
russian journal of biological invasions,Springer Nature ,No,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),NA,None,Encouraged,NA,None,After Acceptance (Post-Publication),NA,None,Optional for Authors
russian journal of ecology,Springer Nature ,No,NA,[redacted],[redacted],[redacted],NA,None,After Acceptance (Post-Publication),NA,None,Encouraged,NA,None,After Acceptance (Post-Publication),NA,None,Optional for Authors
science,Science Partner Journals,Yes,"We seek to lower the barriers to data deposition and support making all data available during the pre-publication process. To this end, we have partnered with Dryad, so that data files associated with a submitted manuscript can be deposited or accessed at Dryad directly from our content tracking system. These data files will be available to editors and reviewers during the peer-review process. In general, all computer code central to the findings being reported should be available to readers to ensure reproducibility. If the software used is commercially available or the source code is already publicly archived, it should be referenced in an appropriately formatted citation (with the version included, if necessary for accurate replication). Author-written source code that is not yet publicly available should be archived in a permanent public repository prior to publication and likewise cited (see Data and Code Deposition). -------------------Other items that are required at submission and should be uploaded to the Auxiliary files section (if applicable) are: Data files required for review of your manuscript. This includes pdb validation reports for structure papers. Tabulated data underlying plots should be provided in a standard machine readable format. We have partnered with Dryad so that data files can be deposited or accessed directly from our content tracking system and will be available to editors and reviewers (see step 9 below). - All data must be available in either the main text or the supplementary materials, or must be deposited at a publicly accessible repository and cited in the paper - but this part doesnt mention peer review, the part that mentions peer review is the bit saying data fiels can be associated with a manuscript. the tabulated data part must be required - so mandated? Ill be honest this one was hard to know if it was ""required"" for peer review but giving them the benefit of the doubt",[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),NA,None,Encouraged
science advances,Science Partner Journals,Yes,"We seek to lower the barriers to data deposition and support making all data available during the pre-publication process. To this end, we have partnered with Dryad, so that data files associated with a submitted manuscript can be deposited or accessed at Dryad directly from our content tracking system. These data files will be available to editors and reviewers during the peer-review process. In general, all computer code central to the findings being reported should be available to readers to ensure reproducibility. If the software used is commercially available or the source code is already publicly archived, it should be referenced in an appropriately formatted citation (with the version included, if necessary for accurate replication). Author-written source code that is not yet publicly available should be archived in a permanent public repository prior to publication and likewise cited (see Data and Code Deposition). ",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,NA,None,After Acceptance (Post-Publication),NA,None,Encouraged
science of the total environment,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are required to state the availability of any data at submission.",[redacted],[redacted],[redacted],NA,None,During Peer Review,NA,None,Mandated,Unclear,Partial (2/3),During Peer Review,NA,None,Mandated
scientific reports,Nature Portfolio (Springer Nature),Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Partial (2/3),Mandated,During Peer Review,Partial (2/3),During Peer Review,NA,None,On Reviewer Request
soil ecology letters,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),During Peer Review,On Reviewer Request,Partial (2/3),On Reviewer Request,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
south of russia-ecology development, Institute of Applied Ecology,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
southeastern naturalist,Eagle Hill Institute,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
southwestern naturalist,Southwestern Association of Naturalists,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
systematic biology,OUP,No,NA,[redacted],[redacted],[redacted],During Peer Review,Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
systematic botany,The American Society of Plant Taxonomists,No,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Optional for Authors,Partial (2/3),Mandated,Not Expected At All,Partial (2/3),Not Expected At All,Optional for Authors,Partial (2/3),Not Mentioned
systematic entomology,Wiley,No,"Systematic Entomology recognizes the many benefits of archiving research data. Systematic Entomology requires authors to (a) provide all data supporting results presented in a paper (including all analyses, figures and tables), metadata, and code on revision for review by editors (and referees as required) and (b) adhere to the minimum standards in data and code archiving set out here. This journal mandates data sharing. Please review Wiley’s data sharing policy here.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),Mandated
taxon,Wiley,No,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),During Peer Review,Mandated,Full (3/3),Encouraged,Not Expected At All,Full (3/3),During Peer Review,Not Mentioned,Full (3/3),Optional for Authors
theoretical and applied ecology,Kamerton,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
theoretical ecology,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
theoretical population biology,ScienceDirect by Elsevier,Yes,"Option C: Research data deposit, citation and linking

You are required to:

Deposit your research data in a relevant data repository.

Cite and link to this dataset in your article.

If this is not possible, make a statement explaining why research data cannot be shared.

Data statement
To foster transparency, you are encouraged to state the availability of any data at submission.",[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated,Unclear,Partial (2/3),During Peer Review,Mandated,Partial (2/3),Mandated
trends in ecology & evolution,Cell Press,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),Not Expected At All,Mandated,Partial (2/3),Optional for Authors,Unclear,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
tropical ecology,Springer Nature ,No,NA,[redacted],[redacted],[redacted],NA,None,Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned,NA,None,Not Expected At All,Not Mentioned,Partial (2/3),Not Mentioned
tropics,J-stage,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Partial (2/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
urban ecosystems,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Full (3/3),On Reviewer Request
vestnik tomskogo gosudarstvennogo universiteta-biologiya,Tomsk State University Juornal of Biology,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
vie et milieu-life and environment,vie et milieu-life and environment,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
web ecology,Copernicus,No,NA,[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged,Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
western north american naturalist,BYU,No,NA,[redacted],[redacted],[redacted],Not Expected At All,Full (3/3),After Acceptance (Post-Publication),Not Mentioned,Full (3/3),Optional for Authors,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
wetlands,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Unclear,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
wetlands ecology and management,Springer Nature ,Yes,NA,[redacted],[redacted],[redacted],NA,None,During Peer Review,Encouraged,Full (3/3),On Reviewer Request,Not Expected At All,Partial (2/3),During Peer Review,Not Mentioned,Partial (2/3),On Reviewer Request
wildlife biology,Oikos,No,"ildlife Biology requires that authors provide all data and metadata, custom written code (simulations and non-standard statistical analyses), and bespoke software necessary for fully replicating the analyses in the study at the first submission stage. This will allow reviewers and editors to fully evaluate your work and confirm that the provided code and data is complete and supports your conclusions (data and code do not need to be public at this stage). If your manuscript does not contain any original data (e.g. viewpoint articles, reviews), please state ‘The content of this manuscript does not build on an original dataset’ in the submission system.",[redacted],[redacted],[redacted],After Acceptance (Post-Publication),Full (3/3),During Peer Review,Mandated,Full (3/3),Mandated,Unclear,Partial (2/3),During Peer Review,Optional for Authors,Partial (2/3),Mandated
wildlife monographs,Wiley - The Wildlife Society,Yes,NA,[redacted],[redacted],[redacted],During Peer Review,Partial (2/3),After Acceptance (Post-Publication),Mandated,Full (3/3),Mandated,NA,None,After Acceptance (Post-Publication),Not Mentioned,Partial (2/3),Mandated
wildlife research,CSIRO,Yes,NA,[redacted],[redacted],[redacted],Unclear,Partial (2/3),After Acceptance (Post-Publication),Encouraged,Full (3/3),Encouraged,NA,None,After Acceptance (Post-Publication),Encouraged,Partial (2/3),Encouraged
zoologica scripta,Wiley,Yes,NA,[redacted],[redacted],[redacted],Unclear,Full (3/3),After Acceptance (Post-Publication),NA,None,Encouraged,Not Expected At All,Full (3/3),Not Expected At All,Not Mentioned,Full (3/3),Not Mentioned
